sample_id,mapping_status,candidate_ids,source_line,timestamp,rule_id,rule_level,rule_description,rule_groups,rule_mitre,agent_id,agent_name,event_id
PST-011,mapped,PST-011,1,2026-07-17T11:35:35.543+0200,91820,4,Powershell script recursively collected files from a filesystem search,windows; powershell,"{""id"": [""T1083"", ""T1119""], ""tactic"": [""Discovery"", ""Collection""], ""technique"": [""File and Directory Discovery"", ""Automated Collection""]}",001,Windows-Host,4104
PST-013,mapped,PST-013,2,2026-07-17T11:35:35.565+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-014,mapped,PST-014,3,2026-07-17T11:35:36.578+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-017,mapped,PST-017,4,2026-07-17T11:35:37.592+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-018,mapped,PST-018,5,2026-07-17T11:35:37.649+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-019,mapped,PST-019,6,2026-07-17T11:35:37.710+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-024,mapped,PST-024,7,2026-07-17T11:35:40.799+0200,91823,14,"Powershell script used ""Invoke-command"" cmdlet to execute code on remote computer",windows; powershell,"{""id"": [""T1059.001"", ""T1021.006""], ""tactic"": [""Execution"", ""Lateral Movement""], ""technique"": [""PowerShell"", ""Windows Remote Management""]}",001,Windows-Host,4104
PST-025,mapped,PST-025,8,2026-07-17T11:35:40.808+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-026,mapped,PST-026,9,2026-07-17T11:35:41.940+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-027,mapped,PST-027,10,2026-07-17T11:35:42.074+0200,91837,4,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-029,mapped,PST-029,11,2026-07-17T11:35:42.977+0200,91819,4,Powershell script searching filesystem,windows; powershell,"{""id"": [""T1083""], ""tactic"": [""Discovery""], ""technique"": [""File and Directory Discovery""]}",001,Windows-Host,4104
PST-031,mapped,PST-031,12,2026-07-17T11:35:44.336+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-033,mapped,PST-033,13,2026-07-17T11:35:45.131+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-034,mapped,PST-034,14,2026-07-17T11:35:46.203+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-039,mapped,PST-039,15,2026-07-17T11:35:47.336+0200,91823,14,"Powershell script used ""Invoke-command"" cmdlet to execute code on remote computer",windows; powershell,"{""id"": [""T1059.001"", ""T1021.006""], ""tactic"": [""Execution"", ""Lateral Movement""], ""technique"": [""PowerShell"", ""Windows Remote Management""]}",001,Windows-Host,4104
PST-040,mapped,PST-040,16,2026-07-17T11:35:47.343+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-046,mapped,PST-046,17,2026-07-17T11:35:49.454+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-050,mapped,PST-050,18,2026-07-17T11:35:50.522+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-054,mapped,PST-054,19,2026-07-17T11:35:52.626+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-055,mapped,PST-055,20,2026-07-17T11:35:52.631+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-059,mapped,PST-059,21,2026-07-17T11:35:54.962+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-060,mapped,PST-060,22,2026-07-17T11:35:55.748+0200,91819,4,Powershell script searching filesystem,windows; powershell,"{""id"": [""T1083""], ""tactic"": [""Discovery""], ""technique"": [""File and Directory Discovery""]}",001,Windows-Host,4104
