id,label,class_id,source_family,source_reference_url,tactic,technique,scenario,obfuscation_type,execution_behavior,safety_class,scriptblock,expected_signal,safety_notes
BEN-001,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_process_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-001'; $scenario = 'admin_process_inventory_v1'; Get-Process | Select-Object -First 5 Name,Id,CPU; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-002,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_service_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-002'; $scenario = 'admin_service_inventory_v1'; Get-Service | Select-Object -First 8 Name,Status; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-003,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_os_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-003'; $scenario = 'admin_os_inventory_v1'; Get-CimInstance Win32_OperatingSystem | Select-Object Caption,Version; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-004,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_bios_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-004'; $scenario = 'admin_bios_inventory_v1'; Get-CimInstance Win32_BIOS | Select-Object Manufacturer,SerialNumber; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-005,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_disk_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-005'; $scenario = 'admin_disk_inventory_v1'; Get-CimInstance Win32_LogicalDisk | Select-Object DeviceID,FreeSpace,Size; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-006,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_network_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-006'; $scenario = 'admin_network_inventory_v1'; Get-NetIPConfiguration | Select-Object -First 3 InterfaceAlias,IPv4Address; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-007,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_adapter_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-007'; $scenario = 'admin_adapter_inventory_v1'; Get-NetAdapter | Select-Object -First 5 Name,Status,MacAddress; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-008,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_eventlog_check,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-008'; $scenario = 'admin_eventlog_check_v1'; Get-WinEvent -LogName System -MaxEvents 5 | Select-Object Id,ProviderName; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-009,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_temp_listing,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-009'; $scenario = 'admin_temp_listing_v1'; Get-ChildItem -Path $env:TEMP -ErrorAction SilentlyContinue | Select-Object -First 5 Name; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-010,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_path_check,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-010'; $scenario = 'admin_path_check_v1'; Test-Path -Path $env:TEMP; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-011,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_date_check,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-011'; $scenario = 'admin_date_check_v1'; Get-Date | Select-Object DateTime; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-012,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_env_summary,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-012'; $scenario = 'admin_env_summary_v1'; Get-ChildItem Env: | Select-Object -First 6 Name,Value; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-013,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_localuser_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-013'; $scenario = 'admin_localuser_inventory_v1'; Get-LocalUser -ErrorAction SilentlyContinue | Select-Object -First 5 Name,Enabled; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-014,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_localgroup_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-014'; $scenario = 'admin_localgroup_inventory_v1'; Get-LocalGroup -ErrorAction SilentlyContinue | Select-Object -First 5 Name; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-015,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_firewall_profile_read,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-015'; $scenario = 'admin_firewall_profile_read_v1'; Get-NetFirewallProfile | Select-Object Name,Enabled; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-016,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_module_list,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-016'; $scenario = 'admin_module_list_v1'; Get-Module -ListAvailable | Select-Object -First 5 Name,Version; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-017,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_command_lookup,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-017'; $scenario = 'admin_command_lookup_v1'; Get-Command Get-Process | Select-Object Name,CommandType; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-018,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_json_formatting,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-018'; $scenario = 'admin_json_formatting_v1'; @{host=$env:COMPUTERNAME; user=$env:USERNAME} | ConvertTo-Json; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-019,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_csv_formatting,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-019'; $scenario = 'admin_csv_formatting_v1'; Get-Process | Select-Object -First 3 Name,Id | ConvertTo-Csv -NoTypeInformation; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-020,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_string_measure,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-020'; $scenario = 'admin_string_measure_v1'; 'routine maintenance script' | Measure-Object -Character; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-021,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_hash_string,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-021'; $scenario = 'admin_hash_string_v1'; Get-FileHash -InputStream ([IO.MemoryStream]::new([Text.Encoding]::UTF8.GetBytes('benign'))); Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-022,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_encoded_config_decode,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-022'; $scenario = 'benign_encoded_config_decode_v1'; $b='YgBlAG4AaQBnAG4AIABjAG8AbgBmAGkAZwA='; [Text.Encoding]::Unicode.GetString([Convert]::FromBase64String($b)); Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-023,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_web_uri_string_only,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-023'; $scenario = 'benign_web_uri_string_only_v1'; $uri='https://intranet.example.local/status'; Write-Output $uri; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-024,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_long_admin_string,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-024'; $scenario = 'benign_long_admin_string_v1'; $note='administrative inventory ' * 20; Write-Output $note; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-025,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_special_chars_config,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-025'; $scenario = 'benign_special_chars_config_v1'; $cfg='path=C:\Temp;mode=audit;owner=admin;enabled=true'; Write-Output $cfg; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-026,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_concat_report_name,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-026'; $scenario = 'benign_concat_report_name_v1'; $name=('weekly' + '-' + 'inventory' + '-' + 'report'); Write-Output $name; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-027,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_process_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-027'; $scenario = 'admin_process_inventory_v2'; Get-Process | Select-Object -First 5 Name,Id,CPU; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
